GameId,VisitingTeam,Inning,IsHomeAtBat,Outs,Balls,Strikes,PitchSequence,VisitorScore,HomeScore,BatterId,BattingHand,ResponsibleBatterId,ResponsibleBattingHand,PItcherId,PitcherHand,ResponsiblePitcher,ResponsiblePitcherHand,CatcherId,FirstBaseId,SecondBaseId,ThirdBaseId,ShortstopId,LeftFieldId,CenterFieldId,RightFieldId,RunnerOnFirstId,RunnerOnSecondId,RunnerOnThirdId,EventDescription,IsLeadOff,IsPinchHit,DefensePosition,LineupPosition,EventType,IsBatterEvent,IsAtBat,HitValue,IsSacHit,IsSacFly,OutsOnPlay,IsDoublePlay,IsTriplePlay,RbiOnPlay,IsWildPitch,IsPassedBall,FieldedByPosition,BattedBallType,IsBunt,IsFoul,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,RunnerOnFirstDestination,RunnerOnSecondDestination,RunnerOnThirdDestination,PlayOnBatter,PlayOnRunnerOnFirst,PlayOnRunnerOnSecond,PlayOnRunnerOnThird,DoesRunnerOnFirstSteal,DoesRunnerOnSecondSteal,DoesRunnerOnThirdSteal,IsRunnerOnFirstCaughtStealing,IsRunnerOnSecondCaughtStealing,IsRunnerOnThirdCaughtStealing,IsPitchoutForRunnerOnFirst,IsPitchoutForRunnerOnSecond,IsPitchoutForRunnerOnThird,RespForFirstPitcherId,RespForSecondPitcherId,RespForThirdPitcherId,IsNewGame,IsEndGame,IsPinchRunnerOnFirst,IsPinchRunnerOnSecond,IsPinchRunnerOnThird,PlayerIdRemovedForPinchRunnerOnFirst,PlayerIdRemovedForPinchRunnerOnSecond,PlayerIdRemovedForPinchRunnerOnThird,BatterIdRemovedForPinchRunner,PositionOfBatterRemovedForPinchRunner,FieldPositionWithFirstPutOut,FieldPositionWithSecondPutOut,FieldPositionWIthThirdPutOut,FieldPositionWithFirstAssist,FieldPositionWithSecondAssist,FIeldPositionWithThirdAssist,FieldPositionWithFourthAssist,FieldPositionWithFifthAssist,EventNumber
PHI201507220,TBA,7,0,2,0,1,FX,4,4,elmoj001,R,elmoj001,R,diekj001,L,diekj001,L,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,,,,13/G-,F,F,6,7,2,T,T,0,F,F,1,F,F,0,F,F,1,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,13,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,1,0,0,0,0,66
PHI201507220,TBA,7,1,0,0,0,.X,4,4,howar001,L,howar001,L,mcgej001,L,mcgej001,L,river003,lonej001,forsl001,longe001,elmoj001,dejed001,guyeb001,souzs001,,,,7/F,T,F,3,4,2,T,T,0,F,F,1,F,F,0,F,F,7,F,F,F,,0,0,N,0,N,0,N,0,0,0,0,7,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,7,0,0,0,0,0,0,0,67
PHI201507220,TBA,7,1,1,0,2,CFFS,4,4,blana001,R,blana001,R,mcgej001,L,mcgej001,L,river003,lonej001,forsl001,longe001,elmoj001,dejed001,guyeb001,souzs001,,,,K,F,F,5,5,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,68
PHI201507220,TBA,7,1,2,1,2,CSFBX,4,4,browd004,L,browd004,L,mcgej001,L,mcgej001,L,river003,lonej001,forsl001,longe001,elmoj001,dejed001,guyeb001,souzs001,,,,63/G,F,F,9,6,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,63,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,69
PHI201507220,TBA,8,0,0,3,2,.SBBFBFFS,4,4,river003,R,river003,R,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,,,,K,T,F,2,8,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,70
PHI201507220,TBA,8,0,1,3,2,.CFBBBB,4,4,kierk001,L,kierk001,L,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,,,,W,F,T,11,9,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,mcgej001,1,0,0,0,0,0,0,0,0,71
PHI201507220,TBA,8,0,1,0,2,CCX,4,4,guyeb001,R,guyeb001,R,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,kierk001,,,7/F,F,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,7,F,F,F,,0,0,N,0,N,0,N,0,1,0,0,7,,,,F,F,F,F,F,F,F,F,F,gilek001,,,F,F,F,F,F,,,,,0,7,0,0,0,0,0,0,0,72
PHI201507220,TBA,8,0,2,1,1,1BC>B,4,4,souzs001,R,souzs001,R,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,kierk001,,,SB2,F,F,9,2,4,F,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,2,0,0,,,,,T,F,F,F,F,F,F,F,F,gilek001,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,73
PHI201507220,TBA,8,0,2,3,2,1BC>B.BFB,4,4,souzs001,R,souzs001,R,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,,kierk001,,W,F,F,9,2,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,2,0,,,,,F,F,F,F,F,F,F,F,F,,gilek001,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,74
PHI201507220,TBA,8,0,2,1,2,BSCX,4,4,longe001,R,longe001,R,gilek001,R,gilek001,R,ruizc001,howar001,hernc005,blana001,galvf001,aschc001,reveb001,browd004,souzs001,kierk001,,43/G,F,F,5,3,2,T,T,0,F,F,1,F,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,0,1,2,0,43,,,,F,F,F,F,F,F,F,F,F,gilek001,gilek001,,F,F,F,F,F,,,,,0,3,0,0,4,0,0,0,0,75
